-0.59,0.75,0.22,-5.37,2.44,5.68,18.2,-33.86,23.39, ,-0.09,0.08,-1,0.98,-0.67,-1.16,47.56,-10.73,42.9,-0.01,0.99,0.04,2.14,-0.79,0.49,37.81,-31.88,-8.78,-0.99,-0.08,-0.05,-0.24,0.31,-1.34,-1.86,13.82,28.44,0.02,0.97,2.93,2.99,0.18,35.64,26.61,-20.08
-0.57,0.75,0.22,13.24,0.79,-0.79,17.83,-34.59,21.81, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.57,0.77,0.21,1.71,-6.1,-0.24,18.14,-34.57,21.12, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.57,0.76,0.2,-2.01,-3.48,-0.92,18.36,-34.33,20.64, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.59,0.76,0.23,1.4,0.79,-1.04,18.19,-34.56,21.4, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.58,0.77,0.19,21.79,-11.35,16.42,17.59,-34.46,21.15, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.72,0.79,0.19,9.89,-101.14,-0.43,19.73,-34.28,22.34, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.67,0.78,0.12,62.01,-64.58,-16.17,21.29,-35.0,19.54, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.6,0.71,0.14,19.17,-68.97,5.0,28.63,-38.79,10.86, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.57,0.8,0.19,0.31,22.16,17.15,28.63,-39.07,9.75, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.57,0.73,0.23,-68.97,164.55,25.82,27.31,-38.76,11.45, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.57,0.9,0.23,-67.69,160.34,-16.3,24.69,-36.44,21.26, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.32,0.93,0.21,-108.64,62.5,22.89,19.8,-34.63,21.58, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.43,0.87,-0.11,-95.28,57.92,-12.88,13.37,-23.35,35.22, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.38,0.91,-0.25,31.07,32.65,-1.1,11.41,-21.08,35.67, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.42,0.93,-0.12,12.82,-22.03,9.7,11.46,-26.15,30.55, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.37,0.89,-0.1,45.1,-114.87,58.96,13.23,-25.78,33.96, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.69,0.72,-0.07,94.85,-93.87,84.23,12.46,-23.33,35.82, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.74,0.59,0.2,76.66,101.5,34.06,13.56,-28.87,27.99, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.7,0.58,0.42,-17.94,85.27,19.59,4.93,-27.65,12.38, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.7,0.68,0.38,-20.75,-82.95,-41.93,8.78,-30.43,15.1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.6,0.7,0.3,32.53,-112.12,-74.46,16.63,-35.05,18.57, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.63,0.68,0.06,-12.51,-117.25,22.52,24.12,-36.56,20.36, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.63,0.77,-0.11,-1.89,-18.31,-23.44,24.84,-36.55,22.44, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.58,0.8,0.07,1.4,138.24,-13.98,27.5,-36.74,23.68, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.55,0.64,0.33,31.98,95.52,83.74,17.37,-35.71,16.02, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.59,0.86,0.3,-0.43,-79.71,-63.29,16.67,-35.23,16.03, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.58,0.72,0.24,6.04,-62.5,-3.91,25.4,-38.23,18.2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.64,0.75,0.08,13.31,-80.87,25.09,23.84,-38.12,17.52, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.7,0.68,0.12,-8.61,105.83,-1.4,24.02,-37.48,18.01, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.53,0.73,0.35,-0.12,112.79,18.62,20.45,-35.9,17.25, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.54,0.78,0.13,-119.81,104.98,73.18,13.39,-33.19,14.16, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.61,1.07,0.14,-188.96,103.52,-19.35,9.11,-28.65,21.78, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.47,0.86,0.18,-0.43,75.56,39.25,7.13,-26.26,23.85, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.55,0.86,0.14,-61.04,50.66,-89.17,3.2,-22.69,21.07, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.47,0.9,0.05,-53.96,41.38,20.51,1.86,-21.9,18.63, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.41,0.93,-0.07,-77.09,43.7,10.25,0.24,-19.73,18.12, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.48,0.81,-0.14,-52.37,43.88,17.33,-2.28,-16.91,16.3, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.66,0.77,-0.14,-57.62,86.18,45.1,-4.77,-11.33,13.26, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.73,0.77,-0.12,-6.23,31.68,6.16,-4.71,-11.3,9.27, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.63,0.75,-0.09,-24.54,32.1,-25.39,-4.5,-11.23,5.04, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.63,0.76,-0.08,-66.96,50.29,-1.28,-3.08,-13.28,2.47, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.64,0.76,-0.1,-14.53,25.45,-12.02,-0.82,-17.36,1.05, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.63,0.77,-0.08,26.79,-4.64,2.26,0.84,-18.29,-0.1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.63,0.74,-0.02,44.19,-47.55,8.18,-1.45,-16.09,-0.92, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.64,0.75,-0.03,50.42,-63.66,30.4,-4.36,-12.45,1.57, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.67,0.74,-0.01,102.05,-109.13,6.71,-6.34,-9.4,8.53, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.66,0.71,0.0,65.61,-81.3,-12.88,-5.8,-9.38,16.83, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.69,0.7,-0.04,26.31,-71.59,0.67,-3.44,-10.93,23.83, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.63,0.75,-0.23,54.75,-94.18,6.41,1.25,-12.94,32.39, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.53,0.78,-0.26,5.55,-87.95,20.08,7.14,-15.52,36.69, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.53,0.77,-0.31,44.43,-84.9,-2.5,13.76,-16.78,40.16, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.51,0.83,-0.37,36.13,-29.6,-2.32,17.72,-19.78,40.53, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.44,0.85,-0.33,5.55,-8.3,-0.24,21.53,-22.52,41.8, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.47,0.81,-0.34,1.59,5.62,-3.97,21.75,-22.49,42.24, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.42,0.79,-0.36,18.55,47.12,-46.88,21.4,-22.44,41.41, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.43,0.88,-0.2,-8.12,67.63,8.12,17.92,-23.46,40.09, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.51,0.83,-0.11,-40.22,60.42,25.51,8.35,-19.23,37.41, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.58,0.76,-0.19,-50.48,49.19,-1.34,2.81,-14.4,34.45, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.67,0.73,-0.12,-84.53,111.63,-13.12,-3.43,-9.5,26.62, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.64,0.75,-0.09,-26.18,96.56,-45.53,-5.79,-10.61,17.82, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.51,0.83,-0.03,-26.92,84.23,-24.48,-4.5,-15.08,8.94, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.43,0.89,0.06,-44.49,75.56,-14.47,1.05,-19.57,-0.2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.54,0.86,0.17,21.12,0.92,17.58,1.39,-18.77,-2.25, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
